# g	 T	 Q2	 P2	 Ntot	 Energy	 Cv	 beta	 Nc
0.0001	0.001	0.007336918538669105	166.45819430855653	1013.7197272080343	0.007759543288702478	0.0076302490591631375	105.84468211662738	1006.8369290568767
0.0001	0.0013869188565300285	0.008414549249921797	217.76298474388443	1015.8878888888509	0.010320435963489772	0.007910142503784889	76.26208859437818	1007.914563010145
0.0001	0.00192354391459856	0.009722872544293286	290.0722787017298	1018.5227173621345	0.013957725813924802	0.008076171044997924	54.93924200975668	1009.222890873925
0.0001	0.0026677993265203275	0.011287436071959837	390.8567199092253	1021.6771865311464	0.019078122819632656	0.008169825553664693	39.5716310944718	1010.7874607705618
0.0001	0.0037000211913891527	0.013140501296440923	530.1849113099228	1025.4183513035891	0.02624920072261318	0.008214580662971609	28.497303585710227	1012.6405347999794
0.0001	0.005131629159898318	0.01531995579524077	721.4957684136543	1029.8253664904369	0.036261894672540006	0.008224077056251765	20.517851533678304	1014.8200013891766
0.0001	0.007117153246582319	0.01786825138951457	982.6056334945474	1034.9876170529503	0.05022033728638421	0.008207857063332385	14.769200076576823	1017.3683134855813
0.0001	0.00987091404249892	0.02083118798333914	1337.1231391595613	1041.0026881313859	0.06967475917752869	0.00819133836522122	10.628378738484452	1020.3312724858324
0.0001	0.013690156816728805	0.024256533737419567	1816.7318582087996	1047.9750336430877	0.09682956250944516	0.008341914073251444	7.646269609238304	1023.7566485538475
0.0001	0.018987136637974283	0.028192176638333517	2465.583298569633	1056.018653653953	0.13490379658238705	0.009160806348995168	5.499100666918588	1027.6923324678808
0.0001	0.02633361783471869	0.032682113355423495	3351.0642081605333	1065.2642688131311	0.18888711382363663	0.011452231347277547	3.953472239789239	1032.1823251583055
0.0001	0.036522591135626795	0.037757803878793614	4603.390540106128	1075.8675307976646	0.26777444855637256	0.017059735859765616	2.8411478022969736	1037.2580948488107
0.0001	0.05065387033533725	0.043402735433017106	6471.833302912026	1087.9810845578459	0.3881794525362646	0.03087863773157528	2.0409009429998375	1042.903144526621
0.0001	0.07025280792430623	0.049658153474402986	8918.751374931222	1101.9374498302059	0.5551131481643026	0.0666600323538252	1.465297046073771	1049.1587172763752
0.0001	0.09743494403440249	0.05685509538874884	11099.01443658741	1118.7584671896275	0.7365532886809425	0.17193771115522635	1.0511906528463388	1056.3557970690113
0.0001	0.13513436116626068	0.06554942262106668	12190.296884884563	1140.6645060795083	0.9059392072229087	0.5004757921949323	0.7530490068569511	1065.050193364775
0.0001	0.1874203936666262	0.07627262715198355	12125.774479536869	1171.8389792569762	1.0910965705067428	1.4886303464874806	0.5381072580094649	1075.773393907729
0.0001	0.259936878074525	0.08953795993385981	11283.528975189003	1220.9469312772699	1.3970373699257372	4.060081173997329	0.38271443921661	1089.0386735384404
0.0001	0.3605113577091053	0.10605112322460246	10048.95046980238	1307.048631881355	2.082857800320569	9.602318679921476	0.2697483572422207	1105.55175887104
0.0001	0.5000000000000001	0.1270333719806688	8666.340378825518	1472.3818902791513	3.8178360413869847	19.922684807132445	0.1869239065784207	1126.5339203053288
