# g	 T	 Q2	 P2	 Ntot	 Energy	 Cv	 beta	 Nc
0.0001	1e-08	0.004924212232754192	77.94209590179312	1008.8720580060193	nan	nan	10632653.853163686	1004.4242171576535
0.0001438449888287663	1e-08	0.004874929122488518	77.88419849588091	1008.9392794034699	nan	nan	10632653.853163686	1004.3749340779375
0.00020691380811147902	1e-08	0.0048121588831694	77.86225962529527	1008.8175162477199	nan	nan	10632653.853163686	1004.3121638950543
0.00029763514416313193	1e-08	0.004735276112727923	77.87646895198114	1008.6728554844269	nan	nan	10632653.853163686	1004.2352812203493
0.00042813323987193956	1e-08	0.004645481655479863	77.949570867241	1008.5121588995546	nan	nan	10632653.853163686	1004.1454869167525
0.0006158482110660267	1e-08	0.004546038455052209	78.10118746762984	1008.3490228682616	nan	nan	10632653.853163686	1004.0460439485048
0.0008858667904100823	1e-08	0.004442133135342104	78.33595403272948	1008.2045386028428	nan	nan	10632653.853163686	1003.9421389578437
0.0012742749857031334	1e-08	0.004339716797296549	78.63801049242255	1008.1064543359048	nan	nan	10632653.853163686	1003.8397230583341
0.0018329807108324356	1e-08	0.004244156533075022	78.97221314314531	1008.0887677865376	nan	nan	10632653.853163686	1003.7441633477613
0.0026366508987303583	1e-08	0.004159097161153468	79.29384577331226	1008.1930498278972	nan	nan	10632653.853163686	1003.6591046458076
0.00379269019073225	1e-08	0.0040859671616418755	79.56123229341307	1008.4729477873667	nan	nan	10632653.853163686	1003.5859754349646
0.005455594781168515	1e-08	0.004024123888577361	79.74514878687614	1009.0025898468054	nan	nan	10632653.853163686	1003.5241330795999
0.007847599703514606	1e-08	0.00397136620833927	79.83264338048767	1009.8894080204307	nan	nan	10632653.853163686	1003.4713764711187
0.011288378916846883	1e-08	0.003924513412975101	79.82689115949644	1011.29245175981	nan	nan	10632653.853163686	1003.4245249482715
0.01623776739188721	1e-08	0.003879863933387677	79.74627839526296	1013.4484721577373	nan	nan	10632653.853163686	1003.3798770189509
0.023357214690901212	1e-08	0.003833508904254253	79.62496106260586	1016.7094070418113	nan	nan	10632653.853163686	1003.3335239368655
0.03359818286283781	1e-08	0.0037748526313228325	79.58621209816049	1021.5949329804149	nan	nan	10632653.853163686	1003.2748703058128
0.04832930238571752	1e-08	0.0037143754841040696	79.57493300370434	1028.8036852728906	nan	nan	10632653.853163686	1003.2143965617553
0.06951927961775606	1e-08	0.0036510816295098987	79.62254626362221	1039.2696895677175	nan	nan	10632653.853163686	1003.1511072044381
0.1	1e-08	0.003609997907512762	79.42795038115592	1053.6854120637731	nan	nan	10632653.853163686	1003.1100288142746
