# g	 T	 Temp	 Q2	 P2	 Ntot	 Energy	 <H_int>	 beta	 Nc
0.001	0.001	0.00943054156028429	0.004411293193479711	78.55627378749676	1008.1726854731893	4.356632882354157e-05	0.9989767545780978	106.038448970035	1003.9112991591695
0.001	0.0012389903709420908	0.01168444180687419	0.0044230956875121	78.94944806997283	1008.1964019206994	0.000180149493694784	0.9961650701591234	85.58389151390014	1003.9231016830264
0.001	0.0015350971392872196	0.014477228999887999	0.004456169120230539	80.05455495205071	1008.2628648054864	0.0005646996440031375	0.9889580734125515	69.07399199168131	1003.9561751996852
0.001	0.0019019705740376145	0.017938012188387732	0.004528745857576167	82.49278878676125	1008.4087153998375	0.0014169366094844758	0.97438414996992	55.74753710153878	1004.0287521222333
0.001	0.002356523227047805	0.022226954781463342	0.004659502767954221	86.94387644558235	1008.6715012799347	0.0029845929948537097	0.950108591696504	44.99041860803946	1004.1595093707101
0.001	0.002919709587213616	0.027542685815586426	0.004861958109383462	94.01498585073728	1009.07843108114	0.00550163192575192	0.9154047898519388	36.307279787292906	1004.3619652492647
0.001	0.003617492064504977	0.03413148532777757	0.005142774874990777	104.24056912361908	1009.6429806113794	0.009188018789984199	0.8712222206415163	29.298461241771975	1004.6427827916376
0.001	0.004482037834881091	0.04229871769312751	0.005503874577967689	118.18091100971279	1010.3691497277316	0.014282276911212415	0.8196012785127296	23.641378617075077	1005.0038835536085
0.001	0.005553201719615808	0.052423061193452566	0.005945498345022165	136.52578666899166	1011.2576292703204	0.02108391168984884	0.763003132527401	19.075574322334614	1005.4455087143233
0.001	0.006880363458503046	0.06497419446973428	0.006468332087961658	160.16420322416008	1012.3101625833965	0.030021716945719402	0.7038406432459634	15.390725628246326	1005.9683442531816
0.001	0.008524704073667096	0.08053477188301268	0.0070744842879767135	190.23172238168405	1013.5318245551858	0.04181609789878295	0.6442348863482855	12.416996740893874	1006.5744987377257
0.001	0.010562026262404352	0.09982774056622704	0.0077677543311357325	228.15568997961978	1014.9321803811984	0.0577829931506538	0.585937579287613	10.017255667893103	1007.2677716625824
0.001	0.013086248836756471	0.12375031542363928	0.008553591275729517	275.71046998772937	1016.5258987278028	0.08022436920216848	0.5303401452195766	8.080787483867503	1008.0536122210253
0.001	0.016213736300493404	0.1534162513539288	0.009438968426831883	335.087876718603	1018.3329843352155	0.1129612353401161	0.47849842752370975	6.518214277658344	1008.9389938849105
0.001	0.020088663153305576	0.19020848266546425	0.010432258197193364	408.9849621462383	1020.3791139484995	0.1625386145631379	0.43115463625246503	5.257389081636199	1009.9322892722779
0.001	0.024889660212044785	0.23584477768236944	0.01154312058653122	500.7104455939148	1022.6968442768001	0.2409275598671392	0.38877946998400575	4.240076926133077	1011.0431586348351
0.001	0.030838049338743966	0.2924598062156956	0.01278246340677763	614.3162369937928	1025.3281801622575	0.3706920842253182	0.3516395156701361	3.419273277034444	1012.2825100930733
0.001	0.038208046189340886	0.3627079707349692	0.014162303522695381	754.7497136955299	1028.3284119550108	0.5948838789844444	0.31987940756392863	2.757038942302981	1013.6623608888891
0.001	0.047339401321103994	0.4498928543589814	0.015695743695603677	928.0481133424541	1031.7726913234258	0.9972485959373243	0.29359859774436103	2.222751462511724	1015.1958142440279
0.001	0.05865306240301117	0.5581313108318129	0.017396884274201333	1141.5830517186646	1035.7670950648965	1.7446665476708163	0.27292824799951876	1.7916930668334063	1016.8969710698021
0.001	0.0726705795435964	0.6925638849838349	0.01928076562615532	1404.3937230311758	1040.467880495305	3.177423252195621	0.25810425073001964	1.4439101167155735	1018.7808724243578
0.001	0.09003814830529722	0.859629653153971	0.0213633546082953	1727.6779346552353	1046.1152346603178	6.004213877140009	0.24954225426993018	1.1632916527844426	1020.8634860207129
0.001	0.11155639876771924	1.0674358281067715	0.023661627157044847	2125.5877027311576	1053.0934114588658	11.730582965580929	0.2479303860321273	0.9368244663228353	1023.1617888785361
0.001	0.13821730389018025	1.3262772372226566	0.026193868433139752	2616.6667724006043	1062.0396305184	23.608523074777764	0.25436483985528024	0.7539901703312722	1025.694067579437
0.001	0.17124990861751013	1.6494112457872014	0.028980284163698758	3226.840326362499	1074.0409386627305	48.70510510943608	0.2705647679609332	0.6062769382433414	1028.4805298386864
0.001	0.212176987801808	2.054291327802984	0.03204379031748048	3997.1616655746634	1090.9787371254597	102.17465458550862	0.29921179467953496	0.48678587426520287	1031.5440947740276
0.001	0.26288524482193754	2.5646354303142287	0.03540982132243055	5003.27474538311	1116.1005128479853	215.5073927840563	0.34442376665986973	0.38991896788912267	1034.9102026134208
0.001	0.3257122869971348	3.2140377497204526	0.03910807923219884	6364.855040456527	1154.9828113479682	452.16491677440905	0.4123246469853544	0.3111351134836475	1038.6085646080815
0.001	0.4035543872869771	4.052313540827503	0.0431994301868777	8136.094507496324	1217.104672624244	937.3085171261614	0.5101139636951817	0.24677261271243958	1042.7000511437657
0.001	0.5000000000000001	5.157036002803526	0.047838777076038445	10112.638507221787	1318.9110411016695	1919.9620239567175	0.6418243064907526	0.1939098349238533	1047.339549715676
