# g	 T	 Temp	 Q2	 P2	 Ntot	 Energy	 Cv	 beta	 Nc
0.005	0.000630957344480193	0.005951740251686647	0.004045020407547643	79.43637077102505	1008.9204727865664	2.53910034143081e-16	4.763519145687998e-97	168.01808508303313	1003.5450293463676
0.005	0.0006984444258053167	0.006588337296772662	0.004045022772562658	79.43632782180184	1008.9204747377952	6.99764118641916e-15	1.152396646879741e-87	151.78336429281728	1003.5450317113429
0.005	0.0007731499129159156	0.007293024640274341	0.00404502277256608	79.4363278219253	1008.9204747377811	1.3996832690583282e-13	3.3897770878131886e-79	137.11732090930974	1003.5450317113464
0.005	0.0008558458851649652	0.0080730852122136	0.004045022772619632	79.43632782389216	1008.920474737885	2.096000629760241e-12	1.4857224280530498e-71	123.86838163024976	1003.5450317113999
0.005	0.0009473870033707994	0.008936580919221391	0.004045022773228625	79.43632784594466	1008.9204747391572	2.4164839511522405e-11	1.1662489818580102e-64	111.8996189973655	1003.5450317120092
0.005	0.0010487193427154244	0.009892435968001571	0.004045022778627723	79.4363280417043	1008.9204747499635	2.199788302021822e-10	1.935986317407416e-58	101.08733614598425	1003.5450317174082
0.005	0.0011608901704080199	0.01095052909694863	0.004045022817171596	79.43632943891915	1008.9204748275379	1.6176911016347473e-09	7.897099075938158e-53	91.31978839987288	1003.5450317559521
0.005	0.0012850587691655261	0.012121795673577138	0.0040450230430912	79.43633762871647	1008.9204752822538	9.810325270429222e-09	9.06534762493928e-48	82.4960283879212	1003.5450319818727
0.005	0.0014225084183707105	0.01341834071552444	0.00404502415091591	79.43637778896912	1008.9204775119259	4.9984372458443506e-08	3.3102384494906214e-43	74.52486273828502	1003.545033089702
0.005	0.0015746596567327057	0.01485356401206503	0.004045028772949207	79.43654534577155	1008.9204868146146	2.1759851031189274e-07	4.29494362513431e-39	67.32390954707806	1003.545037711754
0.005	0.0017430849635192685	0.016442298664494447	0.004045045433053242	79.43714930853842	1008.9205203459194	8.217674959287773e-07	2.1882679046159992e-35	60.81874684343274	1003.5450543719259
0.005	0.0019295250100909377	0.018200964537166294	0.004045098037106196	79.43905632618673	1008.9206262206824	2.7294392107111996e-06	4.79198018437787e-32	54.942143201147616	1003.5451069761937
0.005	0.0021359066496962993	0.020147738324801642	0.004045245369957621	79.44439751802548	1008.9209227536403	8.072501726918412e-06	4.8937209362305344e-29	49.63336250843655	1003.5452543096459
0.005	0.002364362831452421	0.02230274219442378	0.004045615568464657	79.45781829265974	1008.921667842398	2.1498253986498635e-05	2.508942496131457e-26	44.837535729127694	1003.5456245096631
0.005	0.0026172546443209792	0.024688253230789336	0.00404645861832508	79.48838193456727	1008.9233646268638	5.207473615315398e-05	6.90241814499615e-24	40.5050932786478	1003.5464675629621
0.005	0.002897195718904021	0.027328936159712925	0.0040482146541248746	79.55204781725917	1008.9268989552876	0.0001157740248313419	1.0822397020368264e-21	36.59125236913373	1003.5482236059252
0.005	0.003207079239251273	0.030252101992247166	0.004051587834937962	79.67435855238594	1008.933688075067	0.00023817371760307155	1.0212135180730932e-19	33.05555429689726	1003.5515968004996
0.005	0.0035501078438454157	0.03348799529077744	0.004057607416663395	79.89268585926162	1008.9458035800819	0.00045673854667096136	6.092832700012298e-18	29.861447104162693	1003.55761640679
0.005	0.00392982672479122	0.037070112727214145	0.004067653517806838	80.25725065288867	1008.9660232248274	0.000821919494819446	2.4038929481598713e-16	26.97590933587514	1003.5676625489517
0.005	0.004350160267287851	0.04103555557424486	0.004083428156550846	80.83029520263621	1008.9977728156537	0.0013964671529166264	6.534237781487594e-15	24.369110787125052	1003.583437252171
0.005	0.004815452608052407	0.04542541891429473	0.00410686502203206	81.68325581171216	1009.0449446859966	0.002252826429907117	1.2705889757530922e-13	22.01410628456118	1003.606874213622
0.005	0.005330512531864917	0.05028522080290674	0.004139989037401536	82.8924590289543	1009.1116153441398	0.003469116446520287	1.830054323084618e-12	19.886558794670638	1003.6399983650432
0.005	0.005900663170239565	0.05566537545178492	0.004184754147027045	84.53442202527224	1009.2017193159011	0.005124729363116394	2.0165611629529718e-11	17.96448855116695	1003.6847636594116
