#T	Unperturbed_Cv	Perturbed_Cv	Bogoliubov_Cv	<H_int>
0.000630957344480193	0.00010748735843029645	0.00022716034360230998	8.083671061977861e-23	0.07380567587451714
0.0007280225943623166	0.0001389151851536207	0.0002467222337593684	2.8573843355506614e-20	0.15712173273676436
0.0008400201733742976	0.00022198566799780297	0.0003152868890887344	8.268303358531082e-18	0.29622505283595835
0.0009692472419676186	0.0003215740382140016	0.00040772552555943224	1.1036926399271703e-15	0.5027953952643286
0.0011183543512867959	0.0004287762745620133	0.0005050534491265652	7.534158862089495e-14	0.779899965062166
0.0012903998081058197	0.0005341115885333829	0.0005997084137774255	2.875412651030084e-12	1.120877937069018
0.0014889124031605995	0.0006303530758059746	0.0006859371987235333	6.62694795026792e-11	1.5115996733046726
0.0017179637894859923	0.0007137506502858908	0.0007607729490253996	9.8576824750513e-10	1.934535361641221
0.0019822519952953374	0.0007836351132050546	0.0008237250804804701	1.002313314551896e-08	2.37257173012587
0.0022871977843188294	0.0008412741280886303	0.0008758819896102306	7.319125411716827e-08	2.8113818045531427
0.002639055840028831	0.0008888667950974137	0.0009191215656624518	4.005116796922834e-07	3.24030873460716
0.0030450430542299928	0.0009291340293377369	0.0009558830237413216	1.7035823706009253e-06	3.6524030200550572
0.0035134865513164067	0.00096570419945599	0.00098953616881911	5.815191542352646e-06	4.044376355789556
0.004053994484292399	0.0010035761132776019	0.0010248168404269158	1.6373944410372728e-05	4.417298038152063
0.004677653105720716	0.0010493488774321361	0.0010681659974840544	3.896520146478259e-05	4.777362811019211
0.005397254155681914	0.0011103246476463972	0.0011267735235448496	8.007763980353835e-05	5.136812377821253
0.0062275572306547435	0.001192299343955904	0.001206358518615	0.00014491464657201986	5.512956903623709
0.00718559251471459	0.0012973554063846068	0.0013090122346985922	0.00023510098230741615	5.9250377289116445
0.00829101008231022	0.001422983868913069	0.001432288894192834	0.0003477703835988499	6.389666481598553
0.009566482937099859	0.0015635517000865446	0.0015706365051180206	0.0004770062421026566	6.916946844267857
0.01103817205349753	0.00171398704522882	0.001719041336218561	0.000617508452849714	7.509592180670084
0.012736262959305578	0.0018744104827822811	0.0018776335925629543	0.0007692109195305199	8.166400309120913
0.014695584865175299	0.0020536375930488406	0.0020551883067942652	0.0009407740031752367	8.889618299997199
0.01695632503973868	0.0022697643460256314	0.002269729527612408	0.0011501612899899975	9.693623615060082
0.019564853082820063	0.0025479700282239445	0.0025463593895518545	0.0014224350888773353	10.61147064572489
0.02257467200323455	0.002918107101140897	0.0029148672126931524	0.001787339229719791	11.697603017898542
0.026047515608543806	0.0034152037141884474	0.003410235826705234	0.002279794028028295	13.028593230675792
0.030054614715116112	0.004084070257633595	0.00407724084061265	0.00294449536726953	14.70605095576782
0.03467815814947782	0.004987066298494666	0.00497820691871835	0.0038436689439800835	16.865163343961736
0.04001297850726913	0.006214062368368558	0.006202961923977974	0.005067020092409285	19.690342295202875
0.04616849724607674	0.007895411853745312	0.007881807600718048	0.0067446898073008155	23.438906487851092
0.05327096900756246	0.010220555989443427	0.01020412362005715	0.009065833030989508	28.475319149834608
0.061466071201739754	0.013466093174088084	0.01344643257553505	0.012306649048556207	35.32122502538194
0.07092189196785584	0.018038594099933587	0.018015208177704384	0.01687312956124662	44.72982092813615
0.08183237779736027	0.0245400318089606	0.024512295139142985	0.023366354406713048	57.797653003190035
0.09442131153248146	0.03386734808079418	0.03383446144097049	0.03268174166076947	76.13389095357009
0.10894690233236136	0.047360182110633114	0.04732110643778495	0.046156107997016256	102.11688433553977
0.12570708175064838	0.0670059318823103	0.0669592618823403	0.06577222956023955	139.277372935409
0.1450456145513586	0.09570432826879191	0.09564818952409626	0.09442530172392184	192.8466339676935
0.16735914960075646	0.13750227625181285	0.13743405875446482	0.13616637650869043	270.5029180152224
0.19310535545472002	0.19787941661557126	0.19779531408085246	0.1964941969564618	383.1902352324932
0.22281230750903133	0.2840100318824013	0.2839046498853604	0.28261282267886056	546.1739966229788
0.2570893192506002	0.4051296397403141	0.40499544616549593	0.40378166167592555	780.1099955642866
0.29663943976729373	0.5733823451271249	0.573209375352607	0.5721462860398054	1112.4727559020191
0.3422738738503562	0.8052288772227786	0.8050048617860136	0.8041465977704172	1579.8272210474277
0.39492862045731986	1.1243491960541936	1.1240603411399428	1.1234312116379117	2231.3422317509976
0.45568367080366823	1.5669171231689913	1.5665525564076574	1.5661454432424196	3135.528061082769
0.525785159851554	2.1888855407008476	2.1884431784413043	2.1882236059048874	4392.018221029851
0.6066709255404349	3.0847521131453077	3.0844937475681884	3.084154197875832	6149.257937962219
0.7	3.3164869098486642	3.3164505926362824	3.315949645808912	8645.881202149243
