# g	 T	 Temp	 Q2	 P2	 Ntot	 Energy	 <H_int>	 beta	 Nc
0.0001	0.05	0.4835782123197877	0.04316606647459167	6383.3354436520785	1087.4647547122854	1.1122563948962774	0.010912764533264814	2.0679178145824015	1042.6664699774128
0.0001268961003167922	0.05	0.48232139310233246	0.03910701643875922	5065.233261554383	1079.0078134865437	1.0888413825036758	0.014745648426939068	2.0733063353626395	1038.6073379694903
0.00016102620275609394	0.05	0.4818799089845238	0.035362655850879283	4070.6846942597494	1076.0475741899688	1.4951055269723974	0.13296220948112047	2.0752058372952757	1034.862915803766
0.00020433597178569417	0.05	0.48065316319007706	0.03190321733234642	3317.4660506091695	1067.8504330794335	1.4603929971957335	0.125740030431826	2.0805022760342142	1031.4034309364788
0.0002592943797404667	0.05	0.4795573911388973	0.028754802066794347	2723.880883632747	1060.5637541220158	1.4235129221450873	0.12316341125150164	2.0852561517717567	1028.254979434951
0.00032903445623126676	0.05	0.47858097293838525	0.025906465396345463	2247.996627921059	1054.098750787599	1.3832245133884926	0.1263405187581795	2.0895105667494738	1025.4066139958873
0.00041753189365604	0.05	0.47771363627407526	0.023343745713790724	1863.688594332901	1048.3780726083382	1.3389980867584148	0.13692756939929224	2.0933042811997042	1022.8438713527573
0.0005298316906283707	0.05	0.47694620231845164	0.021050408771283013	1552.2838225013084	1043.33361255649	1.290756225520973	0.157305538519468	2.0966725285555605	1020.5505160593239
0.0006723357536499335	0.05	0.4762702535273571	0.01900880269455803	1299.4683482555638	1038.9039238446487	1.2387924318877541	0.1907745629524096	2.0996482408754082	1018.5088953117303
0.0008531678524172806	0.05	0.4756778670589302	0.01719990099454897	1093.8583095703332	1035.032167448639	1.1837112440816862	0.24166477606476724	2.1022630423881234	1016.6999818738207
0.001082636733874054	0.05	0.47516148187392715	0.015603458442476417	926.2334848791556	1031.6650025464812	1.12634336364983	0.31507659061828064	2.1045476919893233	1015.1035299077474
0.0013738237958832637	0.05	0.4747139081191958	0.014198391266837864	789.0852148354959	1028.752447158677	1.0676312611619603	0.4156155109538588	2.1065319193237335	1013.6984551457107
0.0017433288221999873	0.05	0.4743284527953655	0.012963338365722093	676.3177302023313	1026.248520839566	1.0085002462080717	0.5441002593921713	2.1082437583212394	1012.4633960857138
0.00221221629107045	0.05	0.4739991249484945	0.011877307194542308	583.0212496409475	1024.112421184641	0.9497428773240011	0.6916729504201113	2.109708536083609	1011.3773598660433
0.0028072162039411755	0.05	0.4737208758379864	0.010920277334099417	505.27889589466844	1022.3099423796456	0.8919407001681064	0.8343530357853006	2.110947714159851	1010.4203258211339
0.003562247890262444	0.05	0.4734898457539456	0.010073679105635525	439.99324626150803	1020.8149532583122	0.8354390051403284	0.9387568586480873	2.1119777096965695	1009.5737240848517
0.004520353656360241	0.05	0.47330360775844915	0.009320716581729628	384.7320645948646	1019.6108740304248	0.7803710494158601	0.9876955097428579	2.1128087418052193	1008.8207585903501
0.005736152510448681	0.05	0.47316141185120436	0.008646532415272612	337.5942826889036	1018.6921765781044	0.7267131484540059	0.9990932633793906	2.1134436895172493	1008.1465718891982
0.007278953843983146	0.05	0.4730644483336658	0.008038242381485424	297.09751523665784	1018.066032515331	0.6743463414067462	0.9999938915201837	2.113876879825625	1007.5382796851026
0.009236708571873866	0.05	0.47301615848809614	0.0074848761249225355	262.08651409358527	1017.7542954988802	0.6231050609116218	1.0000102997789277	2.1140926838446807	1006.9849115743157
0.011721022975334805	0.05	0.47302262925373245	0.00697726702573698	231.66071246430573	1017.7960640906763	0.572803347200678	0.9999991088309792	2.1140637638788173	1006.4773009069653
0.014873521072935119	0.05	0.47309229884040915	0.006504891142011368	205.06248232507932	1018.2458515079959	0.5232011685776466	-5001.511636904769	2.1137524378458243	1006.0049237467925
0.018873918221350976	0.05	0.47323947584503623	0.006065871488807318	181.83523651564497	1019.1964630555675	0.47418563559269983	nan	2.1130950629474814	1005.5659030841267
0.02395026619987486	0.05	0.47348160301690917	0.005654027106526574	161.52644838688406	1020.7616416858347	0.4254644259126731	nan	2.112014476651773	1005.1540579850607
0.03039195382313198	0.05	0.47384252852132874	0.005266863120112247	143.83008276436837	1023.0977397586264	0.3767651520088501	nan	2.110405756782947	1004.7668936048683
0.03856620421163472	0.05	0.4743529282403757	0.004904581956728056	128.53795345020657	1026.4073929367448	0.3278332526300974	nan	2.10813497812594	1004.4046124173245
0.04893900918477494	0.05	0.47504507436593546	0.004596088240970119	115.67763567238623	1030.906960462637	0.27827968361352085	nan	2.105063401267229	1004.0961187511176
0.06210169418915616	0.05	0.47596265802063153	0.004305158438069093	104.86445529918346	1036.8923190834855	0.22898450878945267	nan	2.101005159015338	1003.805189662982
0.07880462815669913	0.05	0.4771378590727811	0.004046718615327358	96.30126720218728	1044.5918821264113	0.18236917103501366	nan	2.0958303370503724	1003.5467516552285
0.1	0.05	0.4786001612465636	0.003865434459538193	89.69456590901196	1054.2255455232537	0.137329553294954	nan	2.089426792910802	1003.3654693524528
