# g	 T	 Q2	 P2	 Ntot	 Energy	 Cv	 beta	 Nc
0.0001	1e-08	0.004924212229505818	77.94209590246857	1008.872057999517	nan	nan	10632653.853163686	1004.4242171544053
0.0001438449888287663	1e-08	0.004874929122489164	77.88419849581217	1008.9392793996757	nan	nan	10632653.853163686	1004.3749340779382
0.00020691380811147902	1e-08	0.0048121588839362146	77.86225962441627	1008.8175162491234	nan	nan	10632653.853163686	1004.3121638958212
0.00029763514416313193	1e-08	0.00473527611380303	77.87646895033332	1008.6728554869321	nan	nan	10632653.853163686	1004.2352812214244
0.00042813323987193956	1e-08	0.004645481656060123	77.94957086592595	1008.5121589006014	nan	nan	10632653.853163686	1004.1454869173327
0.0006158482110660267	1e-08	0.004546038455364269	78.10118746672669	1008.3490228689186	nan	nan	10632653.853163686	1004.0460439488168
0.0008858667904100823	1e-08	0.004442133135692561	78.33595403144655	1008.2045386036305	nan	nan	10632653.853163686	1003.942138958194
0.0012742749857031334	1e-08	0.004339716797552137	78.63801049129376	1008.1064543363841	nan	nan	10632653.853163686	1003.8397230585897
0.0018329807108324356	1e-08	0.00424415653321539	78.9722131424015	1008.088767786765	nan	nan	10632653.853163686	1003.7441633479017
0.0026366508987303583	1e-08	0.004159097161223597	79.29384577287732	1008.1930498280464	nan	nan	10632653.853163686	1003.6591046458777
0.00379269019073225	1e-08	0.004085967161691564	79.5612322930768	1008.4729477874376	nan	nan	10632653.853163686	1003.5859754350143
0.005455594781168515	1e-08	0.004024123888624638	79.74514878652812	1009.0025898469038	nan	nan	10632653.853163686	1003.5241330796472
0.007847599703514606	1e-08	0.003971366208387105	79.8326433801057	1009.8894080205464	nan	nan	10632653.853163686	1003.4713764711664
0.011288378916846883	1e-08	0.003924513413021264	79.82689115909335	1011.2924517598659	nan	nan	10632653.853163686	1003.4245249483176
0.01623776739188721	1e-08	0.0038798639334257246	79.74627839492196	1013.4484721578427	nan	nan	10632653.853163686	1003.3798770189889
0.023357214690901212	1e-08	0.0038335089042841374	79.62496106230347	1016.7094070418691	nan	nan	10632653.853163686	1003.3335239368955
0.03359818286283781	1e-08	0.0037748526312990013	79.58621209841625	1021.5949329803664	nan	nan	10632653.853163686	1003.274870305789
0.04832930238571752	1e-08	0.0037143754841213635	79.57493300350274	1028.8036852729065	nan	nan	10632653.853163686	1003.2143965617726
0.06951927961775606	1e-08	0.0036510816294987474	79.62254626377016	1039.2696895677275	nan	nan	10632653.853163686	1003.1511072044269
0.1	1e-08	0.0036099979075170266	79.42795038110162	1053.6854120637784	nan	nan	10632653.853163686	1003.1100288142788
