# g	 T	 Q2	 P2	 Ntot	 Energy	 Cv	 beta	 Nc	 ThermoPot	 ModifiedTP
0.001	0.001	0.004411293193138668	78.5562737887675	1008.1726854724935	0.025590847926841808	0	106.03844897005939	1003.9112991588285	0.025541373283203963	0.38095341087714524
0.001	0.0011829087159678172	0.004419284436084131	78.82228414038059	1008.1887430489022	0.025683113464583143	0	89.64164738339824	1003.9192904219394	0.025525326274071815	0.381625193695557
0.001	0.0013992730303126304	0.0044381752307149375	79.45292453724473	1008.2267049847761	0.025902319074086085	0	75.77974622331554	1003.9381812644717	0.025479733685011077	0.38321534039162697
0.001	0.0016552122635755085	0.004476165195658915	80.7243628014544	1008.3030484801066	0.026344889285785218	0	64.06059284364012	1003.9761713259903	0.02536766978315848	0.3863926929422876
0.001	0.0019579650133602893	0.004542673737196119	82.96311958637068	1008.4367056118398	0.027125945293309046	0	54.1527521773595	1004.0426800375786	0.02512609948608377	0.3919095430163839
0.001	0.00231609387986393	0.004646417382588219	86.49465616131245	1008.6452021657309	0.02836187295431925	0	45.77616167082554	1004.1464239512218	0.024658992010863315	0.40042377500645904
0.001	0.0027397276374907615	0.004793850747236345	91.60986331139611	1008.9415298349719	0.03015869912240199	0	38.69417741589304	1004.2938577044215	0.023832211548883497	0.4123585836927067
0.001	0.0032408477017657382	0.00498871977290019	98.56751507043754	1009.3332531878812	0.03261229954623542	0	32.706810335309726	1004.4887272586013	0.022468556256805276	0.42785835069965683
0.001	0.0038336269935429577	0.005232613918556543	107.62296154470444	1009.8236223288974	0.035817630540975774	0	27.645003293495247	1004.7326220921462	0.02034098440282985	0.4468298095882446
0.001	0.0045348307844314635	0.005525925037144622	119.0624815698451	1010.41350161209	0.03988083412539139	0	23.365811881007165	1005.0259340797568	0.017162551010369922	0.46901482073459055
0.001	0.0053642908603431525	0.005868706513535989	133.23058171132868	1011.1031031249374	0.04493233584253277	0	19.74835277206901	1005.3687166324946	0.01257222337618193	0.4940508375527755
0.001	0.006345466413686417	0.006261238559131775	150.54861417240758	1011.8931526599818	0.05114769499687837	0	16.690393407179908	1005.7612499937975	0.006115160019231685	0.5215012231796509
0.001	0.00750610752763071	0.006704321341489361	171.52844449587766	1012.7855635045188	0.05879131778342288	0	14.105475361695586	1006.2043343701437	-0.0027862880045650016	0.5508555011682352
0.001	0.008879040017426001	0.007199384726815471	196.78517118203325	1013.7838213227135	0.06829572817410702	0	11.920483663504891	1006.699399674518	-0.014878072715720418	0.581505039618995
0.001	0.010503093826040264	0.007748503086281933	227.05159032959568	1014.893233522371	0.08036950235109938	0	10.07359094173874	1007.2485203338292	-0.031145880252074324	0.6126966730088161
0.001	0.012424201231450792	0.008354366893336329	263.1956990437783	1016.1210702073635	0.09611493338637589	0	8.512518061146672	1007.8543868875568	-0.052920787915778256	0.6434625592004592
0.001	0.01469669592562123	0.009020242187918633	306.2418712159422	1017.4766120322166	0.11717814293969904	0	7.193062300469828	1008.5202654535866	-0.08202824435233567	0.6725159192014408
0.001	0.017384849706346062	0.009749934176836067	357.3961143469813	1018.9712123108275	0.14604241790574812	0	6.077851669722254	1009.249961330511	-0.12100307307052321	0.6980877257745974
0.001	0.020564690243427296	0.010547753379546405	418.0755906611635	1020.6185297860073	0.1866248725212879	0	5.135290546865044	1010.0477851456723	-0.17342338518275613	0.7176579349776427
0.001	0.02432615133012848	0.011418479058405531	489.942326001342	1022.4350287360611	0.24532065709621306	0	4.33866746205734	1010.9185162880401	-0.2444545447405314	0.7275057646740981
0.001	0.02877561643436108	0.012367379011912778	574.9452982931972	1024.440880588005	0.3326934170182414	0	3.6654002582974	1011.8674227044722	-0.3417428639394887	0.721951471522679
0.001	0.03403892748755249	0.013400118752101833	675.3626401824173	1026.6609758842542	0.466278678012334	0	3.096398081884591	1012.9001700806754	-0.4768749294191691	0.6921093329586804
0.001	0.04026494400722235	0.014522793987189255	793.8581269767593	1029.1267027073134	0.6754676004162192	0	2.6155214967050315	1014.0228543279502	-0.6678004553935739	0.6237586532223982
0.001	0.04762975321409943	0.01574188984829472	933.5447062936413	1031.8784402405022	1.0102105032646387	0	2.2091260564435817	1015.2419608148784	-0.9429221529345747	0.4936902985652204
0.001	0.05634165021635438	0.017064261082959012	1098.0636986488653	1034.9694496551167	1.5566454350151973	0	1.8656761900417969	1016.5643445669415	-1.348133562693846	0.2632985546864455
0.001	0.06664702911293566	0.018497117411169828	1291.686643260282	1038.4718706572992	2.46536426453826	0	1.575418599016629	1017.9972156303824	-1.959119992836849	-0.13281412888329802
0.001	0.07883735163105242	0.02004801376234324	1519.4525609186817	1042.4860068968237	4.00303676704225	0	1.3301059540631315	1019.5481293197828	-2.9031670401586096	-0.8073466897494681
0.001	0.09325739038819152	0.02172486341994787	1787.3644451609998	1047.154881242592	6.647730608072002	0	1.1227630457659434	1021.2249993778319	-4.398370618207744	-1.9576417763386154
0.001	0.1103149799186051	0.023535987484306683	2102.688172990798	1052.6873008479376	11.266593619847189	0	0.9474887398095115	1023.0361474611424	-6.82512760301508	-3.934469885401789
0.001	0.1304925512475327	0.025490218037012825	2474.438908994257	1059.394695674799	19.447892270110117	0	0.7992881154279459	1024.990406342113	-10.858186022502908	-7.3701126763308995
0.001	0.15436077623958336	0.027597090390122724	2914.2448020952147	1067.7498415074576	34.11344927156378	0	0.673930145543922	1027.0973122244413	-17.71272222134069	-13.418533947160743
0.001	0.1825947076173611	0.02986710229648194	3438.100985883317	1078.4785881555206	60.61153525587547	0	0.5678273595524717	1029.367364087951	-29.603217331450537	-24.20527271040897
0.001	0.21599287113017165	0.03231186991072219	4070.4477684368135	1092.6983118727976	108.58076867883912	0	0.47793499814258733	1031.812179961784	-50.591991821906014	-43.661946752282425
0.001	0.2554998498467936	0.03494383194851659	4851.838709490043	1112.1200770238795	195.00852584792082	0	0.4016679064420725	1034.4442016707667	-88.13909316109525	-79.05352299461191
0.001	0.30223299931224074	0.037776522905687386	5841.1534877015365	1139.3417585376426	349.18727176955406	0	0.3368333796481159	1037.276968228945	-155.9125527967649	-143.750738840077
0.001	0.35751404913954454	0.04083205666238381	7088.814240504792	1178.367338886482	621.4852624809896	0	0.28157126411088135	1040.332597425133	-279.1770276786902	-262.5407166944058
0.001	0.42290648480811377	0.04415871901958644	8563.941126817534	1235.2118445703982	1097.0960532984582	0	0.23432404110227104	1043.659372767317	-504.1465867787293	-480.87458740832096
0.001	0.5002597669188291	0.04785091441991546	10117.334609673493	1319.2263539042797	1922.9473685165108	0	0.19379370228937856	1047.3516874207164	-916.8959937708346	-883.5186974874849
0.001	0.5917616385363117	0.05208923867524817	11516.58893460836	1446.0311458482968	3365.7910119184735	0	0.15889210489301867	1051.590119613523	-1685.3954032641457	-1635.9233027596927
0.001	0.7	0.05712123425043635	12523.995751706378	1641.0747337511166	5907.116385578998	0	0.12877577806754859	1056.622193827864	-3138.388723945277	-3061.7497131517775
