#T	Unperturbed_Cv	Perturbed_Cv	Bogoliubov_Cv	<H_int>
0.000630957344480193	0.0009852304232534222	0.0009891540946213018	1.5489188102323688e-65	3.3056599710455212
0.0007280225943623166	0.0009390513697633252	0.0009418953648716908	3.758609989241897e-57	3.71879778128843
0.0008400201733742976	0.0009724124734533045	0.0009742621223538091	1.242011594395245e-49	4.1106532621995875
0.0009692472419676186	0.0010006938466574525	0.001002674125275286	3.9974938107371126e-43	4.478796337777568
0.0011183543512867959	0.0010248653433782436	0.0010269061228255147	1.709284230383426e-37	4.82214886689787
0.0012903998081058197	0.0010456655194583052	0.0010477147530516143	1.2707545788883103e-32	5.140566658920174
0.0014889124031605995	0.0010636573016703076	0.0010656778000062046	2.0740821115206033e-28	5.434520071144093
0.0017179637894859923	0.0010792762179212992	0.0010812425887480191	9.09727095089319e-25	5.704876545446067
0.0019822519952953374	0.0010928641596744284	0.001094759723671221	1.2776838395743188e-21	5.9527442977188
0.0022871977843188294	0.001104692282898432	0.0011065066160456485	6.688483539561044e-19	6.179367498371498
0.002639055840028831	0.0011149786255845722	0.0011167060612247367	1.4886615375885474e-16	6.386048559340344
0.0030450430542299928	0.001123903066164742	0.0011255412672813137	1.578971275354738e-14	6.574099939135919
0.0035134865513164067	0.0011316144892530686	0.0011331632823062211	8.810237372030183e-13	6.744811699040488
0.004053994484292399	0.0011382405033779114	0.0011397013782579529	2.817089533130432e-11	6.89942772354131
0.004677653105720716	0.0011438957160322836	0.0011452711198839602	5.558415727116048e-10	7.039138195274874
0.005397254155681914	0.001148691801303977	0.0011499847310931079	7.214053620851853e-09	7.16507607720071
0.0062275572306547435	0.0011527808908431468	0.001153994638105485	6.507033487045016e-08	7.278328911050515
0.00718559251471459	0.0011565321041774486	0.0011576693173216664	4.2768261769099867e-07	7.380011386551139
0.00829101008231022	0.0011611165366998708	0.0011621772917597055	2.1335133962643995e-06	7.4715801915228495
0.009566482937099859	0.001169881014051006	0.0011708589333929355	8.3678691926371e-06	7.555902506491586
0.01103817205349753	0.0011905118270571725	0.0011913882169547216	2.6612038017831354e-05	7.639873686395081
0.012736262959305578	0.0012369576921856282	0.001237696175185931	7.05452363697862e-05	7.73897033024807
0.014695584865175299	0.0013293198168978714	0.0013298658249691986	0.0001599020561225494	7.882549633417355
0.01695632503973868	0.0014910437048393152	0.0014913304122447168	0.00031758925112446276	8.117078742127513
0.019564853082820063	0.001745372841400886	0.0017453328521248597	0.0005660833363912319	8.505247639880517
0.02257467200323455	0.0021153253773194495	0.002114901615448943	0.0009270701811208051	9.122247797383988
0.026047515608543806	0.002629052189002654	0.002628199235367068	0.0014262224505337546	10.055065426952494
0.030054614715116112	0.003327976844263094	0.0033266588154185492	0.0021012261881388212	11.408973665636738
0.03467815814947782	0.004277095744149431	0.004275272631997705	0.00301263554512626	13.321111096286435
0.04001297850726913	0.005562142477765352	0.0055597555013718195	0.00425012777887775	15.983211871407653
0.04616849724607674	0.007298761247321964	0.0072957326581981384	0.005946586996043821	19.646889681583737
0.05327096900756246	0.009656123454786694	0.009652354669898177	0.008297608722022839	24.656611558817524
0.061466071201739754	0.01289784465854997	0.012893217923561703	0.011588992476292354	31.49460248387662
0.07092189196785584	0.01744418787034489	0.017438565598066266	0.016243553160549384	40.8765359468701
0.08183237779736027	0.023945189382069253	0.02393839914325526	0.022893737084093733	53.893082575218486
0.09442131153248146	0.03337604911884435	0.03336786075227378	0.03248750661690662	72.20853770903531
0.10894690233236136	0.047185933137916025	0.04717603084067407	0.046449289971442646	98.33248608046978
0.12570708175064838	0.06751706058904655	0.06750500749342604	0.06690599009515669	136.02692142932753
0.1450456145513586	0.0974828453433911	0.09746803181846835	0.0969656100290207	190.89005312439065
0.16735914960075646	0.1414731318355153	0.14145469483670933	0.14101964890346694	271.1442180648772
0.19310535545472002	0.20543314421213002	0.2054098379712353	0.20501846270360696	388.60346965084443
0.22281230750903133	0.2971279070255733	0.2970978995605098	0.2967330461689853	559.7489107282499
0.2570893192506002	0.42650254599785564	0.4264631090447064	0.4261138185112084	806.9138030391877
0.29663943976729373	0.6063892753652494	0.6063363165101903	0.6059969437853376	1159.715798793897
0.3422738738503562	0.8539231590553198	0.85385051136194	0.8535200344894238	1657.172555378062
0.39492862045731986	1.1931521891163062	1.1930505909761369	1.1927323827966299	2351.2315187717536
0.45568367080366823	1.6589836816152428	1.6588393414267109	1.6585415303220699	3312.883175278044
0.525785159851554	2.3032362089391527	2.303028894168828	2.3027654526286776	4641.652815870588
0.6066709255404349	3.2034761545432398	3.2033242325425824	3.202969267906826	6480.682421591151
0.7	3.422546074535034	3.422487029171737	3.4220581624259445	9039.176935735506
