50000	1.8539366788790512
60000	2.093547876778459
70000	2.3201413738527914
80000	2.5361563002461196
90000	2.7433290674379553
100000	2.942951232066391
110000	3.136016398520959
120000	3.3233096775799638
130000	3.505465082810148
140000	3.683003937811578
150000	3.8563614830175714
160000	4.025905851436334
170000	4.191951941182644
180000	4.354771775981846
190000	4.514602387980092
200000	4.671651914250901
210000	4.826104380610587
220000	4.978123504243285
230000	5.127855751706107
240000	5.275432824052132
250000	5.420973695720976
260000	5.564586301908863
270000	5.706368946170016
280000	5.846411483244454
290000	5.9847963197309735
300000	6.1215992659424785
310000	6.256890265292286
320000	6.390734022182258
330000	6.523190545240281
340000	6.654315619530921
350000	6.784161218834013
360000	6.912775867090533
370000	7.040204956513309
380000	7.1664910285886965
390000	7.291674023156586
400000	7.415791499917189
410000	7.538878836031541
420000	7.660969402910736
430000	7.78209472482901
440000	7.902284621608045
450000	8.021567337297142
460000	8.139969656500524
470000	8.257517009785262
480000	8.374233569398767
490000	8.490142336373763
