# g	 T	 Q2	 P2	 Ntot	 Energy	 Cv	 beta	 Nc	 ThermoPot
0.01	0.001	0.003939695481136575	79.83836884075697	1010.7547516119615	0.11396554460690128	0	105.94807697585286	1003.4397065659747	0.11396554460689846
0.01	0.0011829087159678172	0.0039396965618193605	79.83834511109244	1010.7547500322016	0.11396538638619269	0	89.56572523380792	1003.4397076466205	0.1139653863857858
0.01	0.0013992730303126304	0.003939696562301851	79.83834512903293	1010.7547500331835	0.1139653864130177	0	75.71651474433439	1003.439707647103	0.11396538638477255
0.01	0.0016552122635755085	0.003939696579337887	79.83834576336078	1010.7547500674951	0.11396538735521594	0	64.00875546979881	1003.4397076641393	0.11396538633512426
0.01	0.0019579650133602893	0.0039396969230024205	79.83835855902372	1010.7547507597966	0.11396540636728661	0	54.111322869757515	1003.4397080078054	0.11396538515698465
0.01	0.00231609387986393	0.003939701223868862	79.83851870899659	1010.7547594241131	0.1139656443318802	0	45.744292847541544	1003.4397123086942	0.1139653676855974
0.01	0.0027397276374907615	0.003939737080166726	79.83985396528489	1010.754831658902	0.11396762844757725	0	38.67102434898512	1003.4397481651773	0.11396519461433664
0.01	0.0032408477017657382	0.003939948613455247	79.84773166310153	1010.7552578083418	0.11397933463602397	0	32.69146502364339	1003.4399596995589	0.11396397784726792
0.01	0.0038336269935429577	0.003940878134497444	79.88234957884039	1010.7571304040298	0.11403077890261033	0	27.636489945119617	1003.4408892254049	0.11395758572806321
0.01	0.0045348307844314635	0.0039440552658808305	80.00068663432577	1010.7635310126075	0.11420665360065656	0	23.363114360714032	1003.4440663732101	0.1139313678174357
0.01	0.0053642908603431525	0.003952815995043713	80.32710195373416	1010.7811803357419	0.11469190693563919	0	19.75044909457146	1003.452827147671	0.1138442143052138
0.01	0.006345466413686417	0.003972912264674019	81.07665229278196	1010.8216665520804	0.11580684281534344	0	16.69628868031814	1003.4729235213216	0.11360180636316598
0.01	0.00750610752763071	0.0040122914306967876	82.54950179403802	1010.9010018968936	0.1179999998044261	0	14.114235248687525	1003.5123028917426	0.11302189728139395
0.01	0.008879040017426001	0.004079804348505221	85.09035373492853	1011.0370229629739	0.1217898164633605	0	11.931269143019335	1003.5798161621624	0.11179927534790993
0.01	0.010503093826040264	0.004183388236341494	89.03558725253937	1011.2457353811178	0.12768777869586928	0	10.08568800652197	1003.6834005974965	0.10947734110381296
0.01	0.012424201231450792	0.004328711725916242	94.68280121377838	1011.5385923163454	0.13615399345149842	0	8.525353184629553	1003.8287248707383	0.10542630713449769
0.01	0.01469669592562123	0.00451888085827735	102.29813236332636	1011.9219144574425	0.1476150665964355	0	7.206199809412154	1004.0188950598397	0.09882018473512913
0.01	0.017384849706346062	0.004755039134641289	112.14892075443615	1012.3981354173687	0.16256557814203648	0	6.090976952998963	1004.2550547030756	0.08859942880659556
0.01	0.020564690243427296	0.005037297789309886	124.54037164907982	1012.9678106022149	0.18185891313939237	0	5.148186700660516	1004.5373150770469	0.07339409761661783
0.01	0.02432615133012848	0.0053655442557133184	139.8440054535574	1013.6316514095838	0.20750577707719733	0	4.351191697074712	1004.8655636666696	0.051341153205040194
0.01	0.02877561643436108	0.005739963063456995	158.51700411763716	1014.3925107855991	0.24457059401062584	0	3.677463421641877	1005.2399850649105	0.01963431454856436
0.01	0.03403892748755249	0.00616129630312373	181.11667230726277	1015.25761480184	0.30494998933527284	0	3.107947848700198	1005.6613214396119	-0.026512881750771235
0.01	0.04026494400722235	0.006630933716147676	208.31434878287328	1016.2413189036647	0.4139595892370608	0	2.6265295619853557	1006.1309626253279	-0.09602563377652572
